"release_time","input_tokens","output_tokens"
50.9951791763306,420,89
51.1212420463562,1112,385
51.3650960922241,1133,396
51.4790260791779,890,403
51.6214160919189,833,36
51.6783471107483,1093,426
51.9402520656586,206,211
52.1202201843262,898,454
52.2276310920715,1312,180
52.2486221790314,1129,396
52.2578401565552,375,67
52.8833060264587,862,425
53.1433281898499,167,179
53.1720399856567,914,414
53.5632481575012,209,217
53.7064561843872,982,594
53.9927611351013,200,161
54.0224640369415,1313,156
54.1176590919495,999,416
55.0830211639404,1084,397
55.1103961467743,399,106
55.3396501541138,1065,594
56.5878200531006,1036,446
56.9654200077057,1243,398
57.2175149917603,1128,384
57.280079126358,1000,375
57.4146239757538,992,56
57.4524390697479,920,87
57.4926311969757,1040,388
57.5039451122284,411,101
57.5111470222473,900,91
57.5776960849762,1018,425
57.7807531356812,4082,44
58.2657291889191,395,99
58.4649140834808,209,217
59.9935200214386,181,113
60.1722002029419,1118,414
60.1835961341858,972,392
60.4261710643768,1847,53
60.6481440067291,392,96
60.7785251140594,197,217
60.8315691947937,975,409
60.8724319934845,1025,443
61.1452660560608,1027,388
61.2635371685028,1143,409
61.2855629920959,1028,394
61.2941150665283,874,402
61.7646050453186,997,492
61.8369550704956,72,245
61.8380281925201,851,397
61.9068350791931,408,91
61.9286940097809,1113,531
62.1744861602783,1313,170
62.2764840126038,1083,426
62.4823310375214,1139,394
62.8431260585785,978,437
63.0430281162262,26,146
63.1127421855927,386,61
63.597892999649,1074,411
64.0954020023346,209,162
64.186733007431,1099,455
64.8883101940155,120,12
64.9109981060028,126,173
64.9358601570129,416,140
64.9407901763916,4074,40
64.9902679920197,394,83
65.0640850067139,1043,399
65.0641560554504,1099,396
65.0660111904144,857,91
65.3483071327209,209,217
65.5315961837769,1109,365
65.7150959968567,993,441
65.7862510681152,888,418
66.3101711273193,2294,72
66.4034900665283,1141,388
66.5116131305695,1067,394
66.6242291927338,1116,423
66.6556839942932,416,79
66.6934680938721,1126,520
66.7116351127625,203,179
67.2459280490875,379,144
67.4399330615997,56,164
67.9304091930389,1232,410
67.9330520629883,209,162
67.9660902023315,206,162
68.6822090148926,1083,378
69.0177431106567,171,183
70.0958650112152,982,429
70.2874710559845,2208,87
70.4579501152039,374,54
70.9135210514069,1019,413
70.9777171611786,126,205
71.5532150268555,1147,396
